,Article Title,Article Date
0,PRESS DIGEST- Financial Times - July 3,8:47pm EDT
1,"MEDIA-Hedge funds Citadel, Millennium and Balyasny post double-digit gains - FT",8:33pm EDT
2,Japan's service sector slump eases as pandemic curbs lift - PMI,8:30pm EDT
3,FOREX-Dollar in narrow range as U.S. virus cases grow,8:24pm EDT
4,PRESS DIGEST-British Business - July 3,8:24pm EDT
5,China reports five new coronavirus cases in mainland on Thursday,8:06pm EDT
6,"GLOBAL MARKETS-Asian stocks set to follow U.S. jobs rally, China in focus",7:59pm EDT
7,UPDATE 3-Portugal seals final deal with TAP's private shareholders,6:14pm EDT
8,Delta amends credit facility to include stricter covenants,6:14pm EDT
9,CORRECTED-US STOCKS-Wall Street closes higher after biggest payrolls jump on record,6:13pm EDT
0,Wall Street sees Exxon paring asset values on weakening demand,6:06pm EDT
1,UPDATE 1-Brazil central bank chief says WhatsApp payments service faces further review,5:42pm EDT
2,"UPDATE 1-Fed balance sheet shrinks further, and still no Main Street loans",5:32pm EDT
3,MEDIA-Latin American Reserve Fund readying $6.8 bln in support amid crisis - Bloomberg News,5:31pm EDT
4,UPDATE 3-Gap in U.S. Black and white unemployment rates is widest in 5 years,5:00pm EDT
5,Fed balance sheet at 7-week low as forex swaps keep dropping,4:51pm EDT
6,GLOBAL MARKETS-Stocks jump on strong U.S. jobs data; COVID-19 caution lingers,4:50pm EDT
7,CANADA FX DEBT-Loonie rises as trade data supports economic recovery hopes,4:36pm EDT
8,"EMERGING MARKETS-Latam stocks up; Mexican, Colombian pesos lead FX gains",4:36pm EDT
9,"UPDATE 1-Brazil central bank chief sees start of 'V-shaped' recovery, limited room for rate cuts",4:18pm EDT
0,Pence says he fully supports Florida governor's efforts to slow coronavirus spread,4:10pm EDT
1,US STOCKS-Wall Street closes higher after biggest payrolls jump on record,4:00pm EDT
2,UPDATE 1-U.S. stock funds shed $4.6 billion in week -Lipper,3:53pm EDT
3,WhatsApp to operate payments in Brazil after showing it is competitive -central bank president,3:48pm EDT
4,"Brazil has more room to cut rates, but not much more -Campos Neto",3:44pm EDT
5,REFILE-FOREX-U.S dollar gains on worries about resurgent coronavirus pandemic,3:33pm EDT
6,US stock funds shed $4.6 billion in week - Lipper,3:30pm EDT
7,Wall Street shifts bets to big pharma as COVID-19 vaccine race progresses,3:23pm EDT
8,Fed's Powell met with Turkey's central bank chief in May as lira fell,3:19pm EDT
9,Brazil's economy has started 'V-shaped' recovery - central bank chief,3:00pm EDT
0,GLOBAL MARKETS-Stocks jump on strong U.S. jobs data; COVID-19 caution lingers,2:52pm EDT
1,RPT-Investors rethink yield curve control horizon as Fed raises doubts,2:50pm EDT
2,"WRAPUP 5-U.S. job growth roars back, but COVID-19 resurgence threatens recovery",2:40pm EDT
3,US STOCKS-Wall Street jumps on record payrolls surge,2:36pm EDT
4,AVI-SPL's US$370m loan finalized with steepest discount in four years,2:29pm EDT
5,UPDATE 2-Brazil's Embraer negotiates worker buyouts as rivals downsize,2:22pm EDT
6,TREASURIES-Yields backpedal after rising on strong June jobs data,1:46pm EDT
7,"US STOCKS-Wall St gains as job growth accelerates, Nasdaq hits record high",1:42pm EDT
8,"Cafe Rouge owner appoints administrators, cuts 1,909 jobs",1:37pm EDT
9,UPDATE 3-German watchdog chief calls Wirecard scandal a 'massive criminal act',1:35pm EDT
0,UPDATE 1-Brazil emergency aid for low-paid workers jumps to nearly $50 bln,1:35pm EDT
1,FOREX-Dollar turns higher as focus turns to surging coronavirus cases,1:18pm EDT
2,Eurodollar futures flagging year-end dollar crunch,1:16pm EDT
3,"UPDATE 1-Brazil revises 2020 fiscal outlook, sees 'lost decade' for national debt",1:04pm EDT
4,UPDATE 1-Swiss restrict entry from 29 countries to prevent coronavirus spread,1:01pm EDT
5,"UPDATE 1-Amid strong June job growth, signs U.S. recovery may be stumbling",12:54pm EDT
6,Brazil's Embraer says it might offer buyouts to furloughed employees,12:39pm EDT
7,"UPDATE 2-Cyclical rally, U.S. jobs data drive European stocks to 1-week high",12:39pm EDT
8,GLOBAL MARKETS-Stocks rise after strong U.S. jobs data; COVID-19 caution lingers,12:29pm EDT
9,Swiss restrict entry from 29 countries to prevent coronavirus spread,12:29pm EDT
0,Mexico's Famsa says to miss payments on stock certificates,12:24pm EDT
1,Trump says three novel coronavirus vaccine candidates looking really good,12:21pm EDT
2,REFILE-US STOCKS-Wall St rises on record job growth; surging virus cases cap gains,12:13pm EDT
3,REFILE-SoftBank-backed Lemonade soars 73% in U.S. market debut,12:12pm EDT
4,UPDATE 2-EU court rules against BlackRock tax break claim,12:00pm EDT
5,Mexico's TV Azteca invests in music streaming company Deezer,12:00pm EDT
6,UPDATE 1-SoftBank-backed Lemonade opens strong in U.S. market debut,11:58am EDT
7,Brazil emergency payments to low-paid workers estimated at 254 bln reais - official,11:54am EDT
8,"UPDATE 2-Southern European bonds outperform, hit 3-month lows",11:31am EDT
9,Brazil needs primary surplus 1.73% of GDP in 2021-2029 to get debt back to 2019 levels - Treasury,11:28am EDT
0,SAA administrators aim to publish revised plan on July 7,11:20am EDT
1,Emerging market debt rush set to run despite Ukraine U-turn,11:15am EDT
2,"Brazil revises 2020 fiscal outlook, now sees 12% of GDP public sector deficit",11:02am EDT
3,TABLE-Top 20 vehicles sold in the United States in Q2 2020,10:56am EDT
4,UPDATE 3-Ukraine aborts Eurobond sale as central bank governor's exit rattles market,10:44am EDT
5,"CANADA STOCKS-TSX gains on energy boost, record U.S. jobs growth",10:35am EDT
6,"Amid strong June job growth, signs U.S. recovery may be stumbling",10:28am EDT
7,U.S. factory orders rebound in May,10:27am EDT
8,"US STOCKS-Record job growth powers Wall St, Nasdaq hits all-time high",10:22am EDT
9,CANADA FX DEBT-C$ strengthens as trade data adds to economic recovery hopes,10:19am EDT
0,EMERGING MARKETS-Latam stocks rise; commodity-linked currencies lead gains,10:13am EDT
1,UPDATE 1-Russian fund steps up production of anti-viral drug approved by Moscow for COVID-19,10:07am EDT
2,UPDATE 2-Sterling driven by weaker dollar; investors eye month-end for trade deal,10:05am EDT
3,"UPDATE 2-Brazil's industrial output up 7% in May, second-biggest rise on record",10:01am EDT
4,"UPDATE 2-EU banks to take on Visa, Mastercard with new payments system",10:00am EDT
5,FOREX-Dollar weakens as strong U.S. jobs data dims haven appeal,9:59am EDT
6,TREASURIES-Yields rise on strong June jobs data,9:54am EDT
7,"UPDATE 2-U.S. Treasury agrees on loan terms with American, four other airlines",9:46am EDT
8,"UPDATE 2-Canada exports jump in May, imports down amid supply challenges",9:37am EDT
9,CANADA STOCKS-TSX opens higher as gains in oil prices lift energy shares,9:36am EDT
0,Who's to blame for Wirecard? Germany passes the buck,9:35am EDT
1,US STOCKS SNAPSHOT-Wall St jumps at open as U.S. job growth accelerates,9:34am EDT
2,Canadian factory activity hints at turnaround in June,9:30am EDT
3,"WEEKAHEAD-AFRICA-FX-Kenyan shilling seen on back foot, Tanziania's firming",9:28am EDT
4,Germany planning 42.5 bln eur in tax relief to 2024 - Handelsblatt,9:20am EDT
5,"UPDATE 2-Exxon signals 2nd quarterly loss in a row on production, refining hits",9:14am EDT
6,"German watchdog chief calls Wirecard ""massive criminal act""",9:09am EDT
7,FOREX-Dollar falls after strong U.S. jobs data,9:06am EDT
8,U.S. trade deficit widens as exports fall to lowest level since 2009,9:05am EDT
9,"UPDATE 2-Britain recognises Guaido as Venezuela's president in gold dispute, judge rules",9:03am EDT
0,Investor worries led to Ukraine's Eurobond delay -sources,9:01am EDT
1,"Mexican formal employment falls 82,000 in June: president",9:01am EDT
2,US STOCKS-Wall St set to open higher as job growth picks up pace in June,9:00am EDT
3,"U.S. Treasury agrees on loan terms with American, four other airlines",9:00am EDT
4,Baltic index rises on firmer vessel rates,8:44am EDT
5,"UPDATE 2-UK will ditch travel quarantine for 75 countries, Telegraph says",8:40am EDT
6,US STOCKS SNAPSHOT-Futures jump as job growth picks up pace in June,8:37am EDT
7,Eurozone banks say pan-European payments system ready in 2022,8:26am EDT
8,UK says significant differences remain on Brexit free trade deal,8:24am EDT
9,Ukraine finance minister: Eurobond issue paused after cbank chief's exit,8:20am EDT
0,GLOBAL MARKETS-Stocks skip higher ahead of U.S. jobs data,8:19am EDT
1,UPDATE 1-Singapore watchdog raises concerns about LSE's proposed Refinitiv acquisition,8:09am EDT
2,"Spain to approve 50 bln euro package to boost companies' solvency, PM says",8:08am EDT
3,CANADA STOCKS-TSX futures rise as oil prices gain; U.S. jobs data awaited,7:51am EDT
4,PRESS DIGEST-Canada - July 2,7:46am EDT
5,Russia extends ban on international flights until August - RBC,7:38am EDT
6,Exxon Mobil's second quarter to be hit by lower oil and gas prices,7:32am EDT
7,Turkish central bank to monitor pandemic impact,7:19am EDT
8,FOREX-Dollar set for biggest weekly drop in a month before U.S. data,7:19am EDT
9,US STOCKS-Futures rise ahead of June jobs report,7:01am EDT
0,INSIGHT-The heat's on Corporate America to reveal racial diversity data,7:00am EDT
1,Egg salad and a basketball star provide one California cafe's coronavirus lifeline,7:00am EDT
2,"RPT-Traders thought Apple had 'the holy grail' of oil data, but the quest continues",7:00am EDT
3,Singapore watchdog raises concerns about LSE's proposed Refinitiv acquisition,6:34am EDT
4,UPDATE 1-EU's Michel to propose smaller budget for deal on coronavirus fund,6:34am EDT
5,Loan servicing company doValue to handle Bain Capital Credit's Greek NPL portfolio,6:26am EDT
6,"CORRECTED-Still long way to go on EU recovery fund deal, EU official says",6:25am EDT
7,What you need to know about the coronavirus right now,6:17am EDT
8,Turkish bad loan plan raises concerns among some banks -sources,6:15am EDT
9,"Britain ""recognised"" Guaido as Venezuela president - UK High Court",6:00am EDT
0,Wall St Week Ahead-Clouds may be parting for dividend investors,6:00am EDT
1,"CORRECTED-TABLE-Holdings of SPDR Gold unchanged, iShares Silver rise (June 30)",5:54am EDT
2,INSIGHT-Eyes in the sky: Investors reach for new tools to gauge climate change risk,5:53am EDT
3,OPEC cuts June oil exports by 1.84 million bpd -Kpler,5:43am EDT
4,CEE MARKETS-Stocks get a boost from improved risk sentiment,5:42am EDT
5,"Euro zone unemployment edges up in May, sharper rise for women, youth",5:22am EDT
6,GLOBAL MARKETS-Stocks skip higher ahead of U.S. jobs data,5:09am EDT
7,"UPDATE 1-World food price index rises in June, first increase in 2020 -U.N.",4:52am EDT
8,"EMERGING MARKETS-EMEA stocks rally, but currencies skittish ahead of U.S. payrolls",4:51am EDT
9,EU court rules against BlackRock tax break claim,4:33am EDT
0,Sterling driven by weaker dollar; investors eye month-end for trade deal,4:29am EDT
1,"World food price index rises in June, first increase in 2020 -U.N.",4:23am EDT
2,Ukraine parliament logs draft resolution on central bank governor's exit,4:05am EDT
3,Germany's 10-year yield holds gains after data boosts optimism,4:01am EDT
4,Argentine may alter proposed payment schedule for restructured bonds -source,4:00am EDT
5,"Ukraine dollar bonds fall after cbank chief resigns, bond sale cancelled",3:49am EDT
6,"S.Korean shares surge on upbeat U.S. data, virus vaccine hopes",3:32am EDT
7,FOREX-Dollar falls to one-week lows on data hopes,3:31am EDT
8,IMF: Ukraine central bank independence must be preserved under new governor,3:24am EDT
9,"European shares rise on upbeat global mood, cyclicals jump",3:23am EDT
0,"JGB futures up on solid auction, but supply woes push 30-yr yield to 17-month high",3:14am EDT
1,"""Flame of freedom is precious"", British minister says on Hong Kong",2:39am EDT
2,"GLOBAL MARKETS-Asian stocks near 4-month highs on vaccine hopes, eyes on U.S. payrolls",2:38am EDT
3,"UK will ditch travel quarantine for 75 countries, Daily Telegraph says",2:11am EDT
4,UPDATE 1-Fed's Bullard warns of financial crisis risks as virus cases spike - FT,2:06am EDT
5,PRESS DIGEST- New York Times business news - July 2,1:31am EDT
6,"Traders thought Apple had 'the holy grail' of oil data, but the quest continues",1:00am EDT
7,Fed's Bullard warns of a financial crisis amid pandemic - FT,12:26am EDT
8,FOREX-Dollar on defensive as investors await U.S. jobs data,12:06am EDT
9,"WRAPUP 1-Record U.S. job growth expected in June, but masks labor market weakness",12:00am EDT
0,"Morning News Call - India, July 2",Jul 01 2020
1,S.Korean shares track Wall St higher; SK Biopharmaceuticals jumps on debut,Jul 01 2020
2,"GLOBAL MARKETS-Asian stocks rise on vaccine hopes, eyes on U.S. payrolls",Jul 01 2020
3,FOREX-Dollar on defensive as upbeat data dulls safe-haven appeal,Jul 01 2020
4,PRESS DIGEST- Financial Times - July 2,Jul 01 2020
5,CORRECTED-UPDATE 2-SoftBank-backed Lemonade raises $319 mln in IPO,Jul 01 2020
6,CORRECTED-SoftBank-backed Lemonade raises $319 mln in IPO -source,Jul 01 2020
7,GLOBAL MARKETS-Asian stocks set to track U.S. gains but Hong Kong jitters weigh,Jul 01 2020
8,UPDATE 2-Dun & Bradstreet shares rally in U.S. market debut,Jul 01 2020
9,UPDATE 1-PG&E emerges from Chapter 11 bankruptcy,Jul 01 2020
0,PG&E emerges from Chapter 11 bankruptcy,Jul 01 2020
1,Jefferies sees jump in mergers of equals as coronavirus hammers economy,Jul 01 2020
2,UPDATE 2-Fed deluged by letters from needy over U.S. loan program,Jul 01 2020
3,URGENT-U.S. House approves extension of small business loan program,Jul 01 2020
4,S&P lowers some Argentine foreign-currency bonds to 'D' on interest non-payment,Jul 01 2020
5,Ukraine president's office says it will work to ensure central bank independence,Jul 01 2020
6,"GLOBAL MARKETS-Manufacturing, vaccine data power stocks higher; U.S. dollar dips",Jul 01 2020
7,"US STOCKS-S&P, Nasdaq close higher on vaccine hopes, improving data",Jul 01 2020
8,"US STOCKS-S&P, Nasdaq close higher on vaccine hopes, improving data",Jul 01 2020
9,"TREASURIES-Yields climb on strong manufacturing data, Fed minutes",Jul 01 2020
0,FOREX-Dollar wobbles as decent U.S. data tempers safe-haven demand,Jul 01 2020
1,Fed received thousands of letters asking it to widen Main Street program,Jul 01 2020
2,Trump: Getting 'more and more happy' with Fed Chair Powell during pandemic,Jul 01 2020
3,Aeromexico to cut flights in short term due to Chapter 11 process -CEO,Jul 01 2020
4,UPDATE 3-Police raid Wirecard HQ as administrator kicks off asset sales,Jul 01 2020
5,"UPDATE 1-Brazil posts historic trade surplus in June, raises 2020 forecast",Jul 01 2020
6,"US STOCKS-Vaccine optimism, improving data lift Wall Street",Jul 01 2020
7,"GLOBAL MARKETS-Factory data, vaccine bets power stocks higher; U.S. dollar dips",Jul 01 2020
8,"Ukraine central bank governor submits resignation, citing political pressure",Jul 01 2020
9,"UPDATE 4-Macy's posts nearly $4 billion in losses, doesn't expect another shutdown",Jul 01 2020
0,Brazil's Economy Ministry raises 2020 trade surplus forecast to $55.4 bln from $46.6 bln,Jul 01 2020
1,UPDATE 2-Hedge fund celebrity John Paulson shuts firm to become a family office,Jul 01 2020
2,Brazil posts $7.5 bln trade surplus in June -Economy Ministry,Jul 01 2020
3,Trump says he wants larger direct payments to Americans -Fox Business,Jul 01 2020
4,TREASURIES-Yields climb on strong manufacturing data,Jul 01 2020
5,GRAPHIC-Shale drillers squeezed as banks tighten credit after oil crash,Jul 01 2020
6,"US STOCKS-Wall Street gains on vaccine hopes, improving economic data",Jul 01 2020
7,UPDATE 1-Fed's Daly sees 4-5 year recovery in best-case scenario,Jul 01 2020
8,Mexican airline industry unions back Aeromexico's Chapter 11 process,Jul 01 2020
